timepoint model testSet feature importance
1.0 timeSocialPlace 2 friends 0.0732236183218
1.0 timeSocialPlace 2 metAtHome 0.0150893412871
1.0 timeSocialPlace 2 metAtUniversity 0.0589640163487
1.0 timeSocialPlace 2 metAtThirdPlace 0.00850693738125
1.0 timeSocialPlace 2 metAtOtherPlace 0.0108184608119
1.0 timeSocialPlace 2 timeSpentAtHomeWith 0.0143807450296
1.0 timeSocialPlace 2 timeSpentAtUniversityWith 0.0891036157025
1.0 timeSocialPlace 2 timeSpentAtThirdPlaceWith 0.00451668036523
1.0 timeSocialPlace 2 timeSpentAtOtherPlaceWith 0.00309868221869
1.0 timeSocialPlace 2 spatialTriadicClosure 0.162163615539
1.0 timeSocialPlace 2 candidatesSpatialTriadicClosure 0.00049526648676
1.0 timeSocialPlace 2 numberOfPeople 0.148181309066
1.0 timeSocialPlace 2 metAtHourOfTheWeek 0.084600339441
1.0 timeSocialPlace 2 metAtDayOfTheWeek 0.0437812335361
1.0 timeSocialPlace 2 metAtHourOfTheDay 0.105190640221
1.0 timeSocialPlace 3 timeSpent 0.173929426497
1.0 timeSocialPlace 3 friends 0.0747203800323
1.0 timeSocialPlace 3 metAtHome 0.0160954292479
1.0 timeSocialPlace 3 metAtUniversity 0.0577976307349
1.0 timeSocialPlace 3 metAtThirdPlace 0.00791649818352
1.0 timeSocialPlace 3 metAtOtherPlace 0.0110005332475
1.0 timeSocialPlace 3 timeSpentAtHomeWith 0.0132932528574
1.0 timeSocialPlace 3 timeSpentAtUniversityWith 0.0876892996041
1.0 timeSocialPlace 3 timeSpentAtThirdPlaceWith 0.0040207628398
1.0 timeSocialPlace 3 timeSpentAtOtherPlaceWith 0.00238567997199
1.0 timeSocialPlace 3 spatialTriadicClosure 0.163410515114
1.0 timeSocialPlace 3 candidatesSpatialTriadicClosure 0.000511462789848
1.0 timeSocialPlace 3 numberOfPeople 0.150498285209
1.0 timeSocialPlace 3 metAtHourOfTheWeek 0.0900929695374
1.0 timeSocialPlace 3 metAtDayOfTheWeek 0.0436065328843
1.0 timeSocialPlace 3 metAtHourOfTheDay 0.103031341249
1.0 timeSocialPlace 4 timeSpent 0.17258197619
1.0 timeSocialPlace 4 friends 0.0766851519675
1.0 timeSocialPlace 4 metAtHome 0.0168696908735
1.0 timeSocialPlace 4 metAtUniversity 0.0599602381441
1.0 timeSocialPlace 4 metAtThirdPlace 0.00767018542739
1.0 timeSocialPlace 4 metAtOtherPlace 0.0103339745872
1.0 timeSocialPlace 4 timeSpentAtHomeWith 0.0146033488849
1.0 timeSocialPlace 4 timeSpentAtUniversityWith 0.089506544644
1.0 timeSocialPlace 4 timeSpentAtThirdPlaceWith 0.00447397987201
1.0 timeSocialPlace 4 timeSpentAtOtherPlaceWith 0.00298682545884
1.0 timeSocialPlace 4 spatialTriadicClosure 0.163912162491
1.0 timeSocialPlace 4 candidatesSpatialTriadicClosure 0.000496376410168
1.0 timeSocialPlace 4 numberOfPeople 0.147282132531
1.0 timeSocialPlace 4 metAtHourOfTheWeek 0.0868424372094
1.0 timeSocialPlace 4 metAtDayOfTheWeek 0.0439631725479
1.0 timeSocialPlace 4 metAtHourOfTheDay 0.101831802761
1.0 timeSocialPlace 5 timeSpent 0.174278037279
1.0 timeSocialPlace 5 friends 0.0771280862807
1.0 timeSocialPlace 5 metAtHome 0.0171823048632
1.0 timeSocialPlace 5 metAtUniversity 0.0554679646744
